day,month,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,region
1,6,29,57,18,0.0,65.7,3.4,149,1.3,3.4,5,1,0
2,6,29,61,13,1.3,64.4,4.1,149,1.0,3.9,4,1,0
3,6,26,82,22,13.1,47.1,2.5,145,0.3,2.7,1,1,0
4,6,25,89,13,2.5,28.6,1.3,135,0.0,1.7,0,1,0
5,6,27,77,16,0.0,64.8,3.0,18,1.2,3.9,5,1,0
6,6,31,67,14,0.0,82.6,5.8,58,3.1,7.0,64,0,0
7,6,33,54,13,0.0,88.2,9.9,82,6.4,10.9,110,0,0
8,6,30,73,15,0.0,86.6,12.1,99,5.6,13.5,109,0,0
9,6,25,88,13,0.2,52.9,7.9,100,0.4,10.5,3,1,0
10,6,28,79,12,0.0,73.2,9.5,113,1.3,12.6,9,1,0
11,6,31,65,14,0.0,84.5,12.5,127,4.0,15.8,99,0,0
12,6,26,81,19,0.0,84.0,13.8,137,4.8,17.7,109,0,0
13,6,27,84,21,1.2,50.0,6.7,39,0.5,6.7,2,1,0
14,6,30,78,20,0.5,59.0,4.6,151,1.0,4.4,4,1,0
15,6,28,80,17,3.1,49.4,3.0,147,0.4,3.0,1,1,0
16,6,29,89,13,0.7,36.1,1.7,149,0.0,2.2,0,1,0
17,6,30,89,16,0.6,37.3,1.1,151,0.0,1.6,0,1,0
18,6,31,78,14,0.3,56.9,1.9,163,0.7,2.4,2,1,0
19,6,31,55,16,0.1,79.9,4.5,31,2.5,5.3,13,1,0
20,6,30,80,16,0.4,59.8,3.4,72,0.9,5.1,4,1,0
21,6,30,78,14,0.0,81.0,6.3,84,2.6,8.4,62,0,0
22,6,31,67,17,0.1,79.1,7.0,102,2.4,9.7,63,1,0
23,6,32,62,18,0.1,81.4,8.2,117,3.3,11.5,85,0,0
24,6,32,66,17,0.0,85.9,11.2,129,5.6,14.9,112,0,0
25,6,31,64,15,0.0,86.7,14.2,140,5.7,18.3,116,0,0
26,6,31,64,18,0.0,86.8,17.8,156,6.7,21.6,20,0,0
27,6,34,53,18,0.0,89.0,21.6,172,9.2,25.8,41,0,0
28,6,32,55,14,0.0,89.1,25.5,179,7.6,29.7,36,0,0
29,6,32,47,13,0.3,79.9,18.4,174,2.2,23.8,86,1,0
30,6,33,50,14,0.0,88.7,22.9,191,7.2,28.3,31,0,0
1,7,29,68,19,1.0,59.9,2.5,168,1.1,2.9,4,1,0
2,7,27,75,19,1.2,55.7,2.4,165,0.8,2.8,3,1,0
3,7,32,76,20,0.7,63.1,2.6,182,1.3,3.0,5,1,0
4,7,33,78,17,0.0,80.1,4.6,46,2.7,5.7,14,1,0
5,7,33,66,14,0.0,85.9,7.6,75,4.8,9.1,95,0,0
6,7,32,63,14,0.0,87.0,10.9,95,5.6,12.5,108,0,0
7,7,35,64,18,0.2,80.0,9.7,103,2.8,12.1,81,1,0
8,7,33,68,19,0.0,85.6,12.5,120,6.0,15.4,114,0,0
9,7,32,68,14,1.4,66.6,7.7,182,1.1,7.4,6,1,0
10,7,33,69,13,0.7,66.6,6.0,183,1.1,5.8,5,1,0
11,7,33,76,14,0.0,81.1,8.1,47,2.6,8.1,62,1,0
12,7,31,75,13,0.1,75.1,7.9,74,1.5,9.2,9,1,0
13,7,34,81,15,0.0,81.8,9.7,96,3.0,11.7,82,1,0
14,7,34,61,13,0.6,73.9,7.8,60,1.4,8.4,8,1,0
15,7,30,80,19,0.4,60.7,5.2,39,1.1,5.9,5,1,0
16,7,28,76,21,0.0,72.6,7.0,67,0.7,8.3,4,1,0
17,7,29,70,14,0.0,82.8,9.4,89,3.2,11.1,83,0,0
18,7,31,68,14,0.0,85.4,12.1,109,4.6,14.2,102,0,0
19,7,35,59,17,0.0,88.1,12.0,125,7.7,18.2,22,0,0
20,7,33,65,15,0.1,81.4,12.3,138,2.8,16.5,91,0,0
21,7,33,70,17,0.0,85.4,18.5,155,5.2,22.4,117,0,0
22,7,28,79,18,0.1,73.4,16.4,162,1.8,21.7,67,1,0
23,7,27,66,22,0.4,68.2,10.5,154,1.8,15.4,61,1,0
24,7,28,78,16,0.1,70.0,9.6,161,1.4,14.7,12,1,0
25,7,31,65,18,0.0,84.3,12.5,180,4.8,18.5,111,0,0
26,7,36,53,19,0.0,89.2,17.1,195,10.0,23.9,43,0,0
27,7,36,48,13,0.0,90.3,22.2,7,8.7,29.4,43,0,0
28,7,33,76,15,0.0,86.5,24.4,11,5.6,32.1,23,0,0
29,7,32,73,15,0.0,86.6,26.7,13,5.6,35.0,25,0,0
30,7,31,79,15,0.0,85.4,28.5,16,4.7,37.4,21,0,0
31,7,35,64,17,0.0,87.2,31.9,21,6.8,41.2,45,0,0
1,8,36,45,14,0.0,78.8,4.8,1,2.0,4.7,9,1,0
2,8,35,55,12,0.4,78.0,5.8,0,1.7,5.5,8,1,0
3,8,35,63,14,0.3,76.6,5.7,0,1.7,5.5,8,1,0
4,8,34,69,13,0.0,85.0,8.2,52,4.0,8.2,86,0,0
5,8,34,65,13,0.0,86.8,11.1,79,5.2,11.5,103,0,0
6,8,32,75,14,0.0,86.4,13.0,101,5.2,14.2,108,0,0
7,8,32,69,16,0.0,86.5,15.5,118,5.5,17.2,114,0,0
8,8,32,60,18,0.3,77.1,11.3,115,2.2,14.1,65,1,0
9,8,35,59,17,0.0,87.4,14.8,131,6.9,17.9,124,0,0
10,8,35,55,14,0.0,88.9,18.6,142,7.4,21.9,24,0,0
11,8,35,63,13,0.0,88.9,21.7,159,7.1,25.5,27,0,0
12,8,35,51,13,0.3,81.3,15.6,157,2.5,20.7,93,1,0
13,8,35,63,15,0.0,87.0,19.0,175,5.9,24.4,17,0,0
